iter	RMSE
193	1.165807245
194	1.165016206
195	1.164459201
196	1.163613782
197	1.161899423
198	1.161287843
199	1.160117375
200	1.158946868
201	1.158534144
202	1.158144254
203	1.157498346
204	1.15663624
205	1.155801699
206	1.154718151
207	1.153831503
208	1.1531366
209	1.152932321
210	1.151965328
211	1.151301482
212	1.150607254
213	1.149773657
214	1.149131353
215	1.148521494
216	1.148332311
217	1.147212938
218	1.146601202
219	1.146291239
220	1.14558768
221	1.144696479
222	1.143874075
223	1.143308859
224	1.143071057
225	1.142183269
226	1.141413717
227	1.140664423
228	1.13999632
229	1.139304383
230	1.139082852
231	1.1381105
232	1.137259637
233	1.136047775
234	1.135412304
235	1.13539362
236	1.134788318
237	1.133197538
238	1.132234202
239	1.131350714
240	1.130594499
241	1.130021969
242	1.129180122
243	1.128309327
244	1.127711096
245	1.127285845
246	1.126479207
247	1.12577286
248	1.125051959
249	1.12395806
250	1.123351816
251	1.122564787
252	1.121960812
253	1.121522338
254	1.121465948
255	1.12098442
256	1.120972311
257	1.120454949
258	1.119449307
259	1.118876985
260	1.117983494
261	1.117415974
262	1.11642896
263	1.11600779
264	1.115409647
265	1.114534475
266	1.113378939
267	1.112327168
268	1.111769648
269	1.111454532
270	1.111084643
271	1.110426261
272	1.109697025
273	1.108807371
274	1.108044146
275	1.106582861
276	1.104764385
277	1.104721702
278	1.104406425
279	1.103739404
280	1.102566813
281	1.10123726
282	1.10078816
283	1.100269792
284	1.099371915
285	1.098902584
286	1.098081286
287	1.097151143
288	1.096369708
289	1.096036196
290	1.09535697
291	1.094553002
292	1.093307612
293	1.092537653
294	1.091974951
295	1.090958323
296	1.090133593
297	1.089942072
298	1.089348647
299	1.088670004
300	1.087799085
301	1.086943709
302	1.086293787
303	1.086096855
304	1.085526323
305	1.085471091
306	1.084109576
307	1.083564365
308	1.082773042
309	1.082215942
310	1.081199102
311	1.080701485
312	1.079654633
313	1.078834134
314	1.077597208
315	1.077583151
316	1.07737756
317	1.07674398
318	1.07673311
319	1.076013828
320	1.074798377
321	1.074170884
322	1.073384764
323	1.072720131
324	1.072226519
325	1.071090763
326	1.070457708
327	1.070213064
328	1.069587753
329	1.06901931
330	1.067895936
331	1.067154376
332	1.066734855
333	1.065907089
334	1.065179027
335	1.064371902
336	1.064303862
337	1.063365068
338	1.062332758
339	1.062041999
340	1.061650959
341	1.060870045
342	1.060618957
343	1.059736169
344	1.059136684
345	1.058117201
346	1.057536454
347	1.056925915
348	1.056394968
349	1.056361638
350	1.055705375
351	1.05490424
352	1.054207368
353	1.05337501
354	1.052760212
355	1.052256594
356	1.051544202
357	1.050723165
358	1.050294627
359	1.050230691
360	1.049900985
361	1.048776863
362	1.048767999
363	1.047907856
364	1.046748353
365	1.04625763
366	1.045931285
367	1.045019793
368	1.044330203
369	1.043939876
370	1.043286475
371	1.042597629
372	1.042311277
373	1.041188192
374	1.040803912
375	1.040384531
376	1.039604384
377	1.038856328
378	1.038154581
379	1.037472993
380	1.036451098
381	1.03493819
382	1.034141379
383	1.034115759
384	1.03371226
385	1.033046978
386	1.032268638
387	1.0315735
388	1.030938819
389	1.030286387
390	1.029623424
391	1.028842245
392	1.028603271
393	1.028333845
394	1.027074361
395	1.02648859
396	1.026202685
397	1.02588393
398	1.025268056
399	1.024136246
400	1.023053564
401	1.02261157
402	1.022027529
403	1.02111813
404	1.020667421
405	1.019902922
406	1.019000908
407	1.018596286
408	1.018248788
409	1.017889492
410	1.017418143
411	1.016356838
412	1.015852908
413	1.015263373
414	1.014666108
415	1.014325092
416	1.013271383
417	1.012530119
418	1.011646747
419	1.011110594
420	1.010447726
421	1.009869111
422	1.008987789
423	1.008640549
424	1.008122107
425	1.007725332
426	1.007516936
427	1.007188117
428	1.006860624
429	1.006181093
430	1.005391627
431	1.004248663
432	1.00355623
433	1.003069284
434	1.002567703
435	1.00176519
436	1.001436503
437	1.001291643
438	1.001024111
439	1.000667759
440	1.000070516
441	0.9991387132
442	0.9987809944
443	0.9980181193
444	0.9974484578
445	0.9966254002
446	0.9963428571
447	0.995980459
448	0.9954218419
449	0.9947866819
450	0.9945975842
451	0.9940775283
452	0.9932287281
453	0.9930132795
454	0.9922686951
455	0.9916935165
456	0.9914957451
457	0.9911646511
458	0.9908904739
459	0.9906043412
460	0.9896343822
461	0.989322899
462	0.9884069357
463	0.9878081439
464	0.9876787493
465	0.9871519738
466	0.9868267213
467	0.9861793071
468	0.9860083976
469	0.9853989596
470	0.9846214623
471	0.9837443953
472	0.9835290071
473	0.9830315885
474	0.982606593
475	0.9817233506
476	0.981033152
477	0.9801305377
478	0.9796275005
479	0.9786721566
480	0.9780742592
481	0.9773042345
482	0.9771360805
483	0.9761127919
484	0.975909719
485	0.9753510808
486	0.9744900518
487	0.9735913745
488	0.9727926493
489	0.9721700039
490	0.9721632366
491	0.9714962348
492	0.9712617543
493	0.97060678
494	0.9700425738
495	0.9688911447
496	0.9688067018
497	0.9683580772
498	0.9675041134
499	0.9667743326
500	0.9664400526
501	0.9655822933
502	0.9648766872
503	0.9642264214
504	0.9638526634
505	0.9632524906
506	0.9626327958
507	0.9616022367
508	0.9606464564
509	0.9601376842
510	0.959470222
511	0.9589908343
512	0.9589694173
513	0.9586282005
514	0.9583361841
515	0.9581380363
516	0.9581267983
517	0.9573252964
518	0.9571783792
519	0.9561614538
520	0.9551387508
521	0.9545916875
522	0.954167771
523	0.9535037571
524	0.9529494662
525	0.9524905237
526	0.9520923441
527	0.9514716947
528	0.9509925984
529	0.9509374504
530	0.9497164591
531	0.9493375236
532	0.9490796916
533	0.9477985419
534	0.9470499912
535	0.9464358469
536	0.9460728925
537	0.9455901344
538	0.9447062669
539	0.9437441393
540	0.9435409273
541	0.9431009706
542	0.9425978501
543	0.9420910612
544	0.9412076237
545	0.9406676748
546	0.9403889225
547	0.9397678205
548	0.9394609028
549	0.9387483781
550	0.9383949408
551	0.9377999384
552	0.9371634416
553	0.9368950081
554	0.9363065687
555	0.9359346517
556	0.9352551658
557	0.9351604132
558	0.9345376961
559	0.9340040845
560	0.9332710288
561	0.9323498573
562	0.9320423817
563	0.9314567788
564	0.9309317492
565	0.9305016909
566	0.9297850817
567	0.9291988163
568	0.9283166188
569	0.9283017867
570	0.9275998412
571	0.9273243481
572	0.9266388224
573	0.9263545163
574	0.9260972438
575	0.9255016411
576	0.9247099176
577	0.9238570226
578	0.923634188
579	0.9232599434
580	0.9224685631
581	0.9217521129
582	0.9210506376
583	0.9200815038
584	0.9198978862
585	0.9190348628
586	0.9189884327
587	0.9183848066
588	0.9182748901
589	0.9172541723
590	0.9162625479
591	0.915811639
592	0.9153154521
593	0.9150545115
594	0.9145470289
595	0.91403732
596	0.9136601255
597	0.9132872769
598	0.9127736286
599	0.9125682331
600	0.9120123045
601	0.9113097136
602	0.9109427197
603	0.9103864655
604	0.9095849125
605	0.9091114903
606	0.9089132713
607	0.9081273899
608	0.9074137755
609	0.9068560938
610	0.906659665
611	0.9058213987
612	0.9051294478
613	0.9041203256
614	0.903675053
615	0.903280887
616	0.9028951649
617	0.9023967006
618	0.9017448735
619	0.901472516
620	0.9010357123
621	0.9003249264
622	0.8997028032
623	0.8989960165
624	0.898404484
625	0.8979601149
626	0.8977529888
627	0.8977260479
628	0.8974124442
629	0.8964327574
630	0.8960710847
631	0.8958204849
632	0.8952349884
633	0.8949228067
634	0.8943352617
635	0.8937894665
636	0.8933504571
637	0.8928817201
638	0.8927476352
639	0.892456876
640	0.8922352395
641	0.8918453724
642	0.8913246704
643	0.8911354305
644	0.8904764698
645	0.8896938918
646	0.8895426921
647	0.8890053147
648	0.8884391804
649	0.8880602679
650	0.8871780861
651	0.8865415166
652	0.8860940058
653	0.8855078043
654	0.8852300793
655	0.8850599537
656	0.8848004252
657	0.8842081988
658	0.8837968685
659	0.8832949536
660	0.8830835189
661	0.8827552228
662	0.8823676609
663	0.88172524
664	0.881094525
665	0.8804034751
666	0.8798013936
667	0.8792606545
668	0.8785423205
669	0.8784186741
670	0.8781894782
671	0.8780093874
672	0.8778215999
673	0.8774281249
674	0.8770582286
675	0.8764463074
676	0.8754079317
677	0.8749254304
678	0.874346189
679	0.8738625601
680	0.8736210828
681	0.8728841574
682	0.8723506189
683	0.8719658981
684	0.8715396129
685	0.871050596
686	0.870643478
687	0.8702841537
688	0.8697294024
689	0.8689976609
690	0.8686525014
691	0.8679808835
692	0.8673700452
693	0.8667419327
694	0.8661098111
695	0.8657858101
696	0.8652576763
697	0.8647618239
698	0.8642330374
699	0.8637228608
700	0.8634892083
701	0.8625434756
702	0.8621476384
703	0.8618455135
704	0.8614381392
705	0.8609555875
706	0.8603783259
707	0.8600955846
708	0.8593051762
709	0.8587507924
710	0.8583133615
711	0.8577672625
712	0.8572852931
713	0.8568674524
714	0.8563846634
715	0.8558007195
716	0.8554585838
717	0.854885445
718	0.8542620936
719	0.8536367958
720	0.8529595371
721	0.8525030239
722	0.8522480155
723	0.8518048508
724	0.8512758479
725	0.8509663205
726	0.850534074
727	0.8501944641
728	0.8496520865
729	0.8491908271
730	0.8482188849
731	0.8478346409
732	0.8470746483
733	0.8467019561
734	0.8462033935
735	0.8456966264
736	0.8454840204
737	0.845156353
738	0.8447336836
739	0.8443357523
740	0.8439294887
741	0.8434426278
742	0.8429959623
743	0.8426245725
744	0.842327512
745	0.8419597245
746	0.8416156642
747	0.8413345603
748	0.8409190697
749	0.8403713323
750	0.8396968074
751	0.8392078628
752	0.8386015632
753	0.8381399018
754	0.8377175805
755	0.8371269694
756	0.8371224907
757	0.8364142715
758	0.8361976716
759	0.835943486
760	0.8357400974
761	0.8355867643
762	0.8351921439
763	0.8348052504
764	0.8341371174
765	0.8331218919
766	0.832600637
767	0.8323170961
768	0.8314837502
769	0.8309573066
770	0.8307959204
771	0.8304519727
772	0.8300923764
773	0.8299265352
774	0.8294648626
775	0.8290926527
776	0.828515875
777	0.8281071805
778	0.8279962871
779	0.8275043234
780	0.8272771154
781	0.826784551
782	0.8264472032
783	0.8258050842
784	0.8255603826
785	0.8249962144
786	0.8245001919
787	0.8240748217
788	0.8234824481
789	0.8231687595
790	0.8229789856
791	0.8229267374
792	0.8221642192
793	0.821885885
794	0.8216659787
795	0.8213128516
796	0.8207136173
797	0.8203055523
798	0.819752363
799	0.8195097142
800	0.81929549
801	0.8188764368
802	0.8182783357
803	0.8174809785
804	0.8170943909
805	0.8167768037
806	0.8164633899
807	0.8161911745
808	0.8151668614
809	0.8146931864
810	0.81411522
811	0.8137760042
812	0.81321359
813	0.8128085813
814	0.8122182865
815	0.8120919109
816	0.8115327071
817	0.8109814429
818	0.8107811369
819	0.8102519625
820	0.8098572559
821	0.8095873119
822	0.8089121883
823	0.8083814081
824	0.808041149
825	0.8077030336
826	0.8070008229
827	0.8063279366
828	0.8055677335
829	0.8052219879
830	0.8046833615
831	0.8039812641
832	0.8037458737
833	0.8033457924
834	0.8032627731
835	0.8031394753
836	0.8029563596
837	0.8025915766
838	0.8021077793
839	0.8021031941
840	0.801403642
841	0.8012689838
842	0.801058338
843	0.8005130017
844	0.8000151805
845	0.7994337013
846	0.7991333555
847	0.7982031744
848	0.797749758
849	0.7974585918
850	0.7970378855
851	0.7969383256
852	0.796504815
853	0.7962675807
854	0.7960143468
855	0.7955463891
856	0.7953542386
857	0.7951077655
858	0.7949754434
859	0.7944150874
860	0.7938542465
861	0.7932887732
862	0.7929883832
863	0.7925639972
864	0.7924071292
865	0.7922208051
866	0.7916284344
867	0.7912457149
868	0.7911116848
869	0.7909919363
870	0.7904596633
871	0.7900792483
872	0.7896953302
873	0.789106101
874	0.7884624512
875	0.7881735481
876	0.7874097695
877	0.7871679782
878	0.7866277613
879	0.7862928127
880	0.7856014555
881	0.7851972975
882	0.7848955436
883	0.7845675814
884	0.7842586849
885	0.783941337
886	0.7833285009
887	0.7831227592
888	0.7826861548
889	0.7826014999
890	0.7818508733
891	0.7814033327
892	0.7810073936
893	0.7803372198
894	0.7798636803
895	0.7793330417
896	0.7789620931
897	0.7781906333
898	0.7778556879
899	0.7773909533
900	0.7768667995
901	0.7762557346
902	0.775680993
903	0.7754108929
904	0.7751003542
905	0.7741258677
906	0.7735704332
907	0.7730128295
908	0.7727540112
909	0.7722819683
910	0.7715362003
911	0.7710717257
912	0.7705123792
913	0.7702245392
914	0.7697906585
915	0.7695394664
916	0.7690018914
917	0.7689173758
918	0.7684340453
919	0.767994488
920	0.7676958737
921	0.7673736465
922	0.7671329715
923	0.7667248266
924	0.7664656898
925	0.7657320353
926	0.7650870107
927	0.7645107117
928	0.7638205643
929	0.7634958651
930	0.7631418042
931	0.7624867748
932	0.762053247
933	0.7617096559
934	0.7616224404
935	0.7612132552
936	0.7610238075
937	0.7604445107
938	0.7600726167
939	0.7596000394
940	0.7593076653
941	0.7587358222
942	0.7583783149
943	0.7580573892
944	0.7576307752
945	0.7570172012
946	0.7567103827
947	0.7560849905
948	0.7557051004
949	0.7555231224
950	0.7550441623
951	0.7546366419
952	0.7541204475
953	0.7534496592
954	0.7530283145
955	0.7526537267
956	0.7522862245
957	0.7518118223
958	0.7514753562
959	0.751216289
960	0.7507279216
961	0.7502306309
962	0.7494033033
963	0.7488542342
964	0.7485988062
965	0.7481864711
966	0.7478482407
967	0.747612239
968	0.7472602772
969	0.7466102047
970	0.7462713755
971	0.7457767702
972	0.7453663233
973	0.7452210258
974	0.744840243
975	0.7443974225
976	0.7436740566
977	0.7432019704
978	0.7431081118
979	0.7427047848
980	0.7420005883
981	0.7411040824
982	0.7406774206
983	0.7404041263
984	0.7402064349
985	0.7399631798
986	0.7395635189
987	0.7393451199
988	0.7389083411
989	0.7384559412
990	0.7383916443
991	0.7380247319
992	0.7375420036
993	0.7371901158
994	0.7368017454
995	0.736692751
996	0.7364504027
997	0.7359139027
998	0.7356689547
999	0.7353297363
